image_id,label,pred,correct,prob,pointing_hit,energy_in_box,box_area_frac,corner_energy,faith_drop
001503,1,1,1,0.8271734714508057,1,0.3779297644023785,0.03321111111111111,0.0005044410122550947,0.7277753949165344
000093,0,0,1,0.0020368194673210382,1,0.14085707368533293,0.027866666666666668,0.010310662274349671,0.1074867844581604
001847,0,0,1,0.2088308483362198,0,0.027021568562942317,0.005,0.025306845061159183,-0.04158139228820801
000955,1,1,1,0.7519230842590332,1,0.06658336337344438,0.009955555555555556,0.008729722268458216,0.6785572171211243
003733,1,1,1,0.9114526510238647,1,0.3696609737722052,0.029555555555555557,0.06136782158547747,0.8952848315238953
004420,1,0,0,0.4031541645526886,1,0.8196487544621766,0.5145,0.005282724097358927,-0.34404873847961426
001653,1,1,1,0.9139504432678223,1,0.63187872908362,0.054266666666666664,0.004610858342893905,0.8926805257797241
000339,0,1,0,0.6205636858940125,1,0.6763691409346192,0.06823333333333333,0.011983458312205316,0.6100602149963379
004963,1,1,1,0.8891087770462036,1,0.5268417067443832,0.04753333333333333,0.005250203140677723,0.8477333188056946
003036,1,1,1,0.9038071036338806,1,0.6605451768450239,0.08897777777777778,0.009791266633836778,0.8267875909805298
004092,1,1,1,0.8851411938667297,0,0.2229880614494445,0.14226666666666668,0.019865017872939535,0.841614305973053
004147,0,0,1,0.08520913124084473,1,0.051320747604595936,0.0061333333333333335,0.029494868870198684,0.11160272359848022
004727,1,1,1,0.8722577095031738,1,0.6038544844677121,0.046844444444444445,0.0032713197965761123,0.8230833411216736
004326,1,1,1,0.8095775842666626,1,0.4252532404680775,0.0402,0.018828067734883627,0.7269272208213806
000822,1,1,1,0.9155825972557068,1,0.42331438967826085,0.03031111111111111,0.07772989335233398,0.8998568058013916
000349,0,0,1,0.18953043222427368,0,0.41874206777586354,0.3059,0.11728004195046213,-0.042992353439331055
004996,1,1,1,0.8498104214668274,1,0.7380677142800784,0.10697777777777778,0.0066333803676104424,0.681145429611206
002811,1,1,1,0.847057580947876,1,0.6087325693472446,0.07015555555555555,0.05427228391232866,0.7577866315841675
004439,1,1,1,0.9053285717964172,1,0.3990255405687352,0.03722222222222222,0.03323027070110272,0.5066909790039062
000415,0,0,1,0.06846822798252106,0,0.03432117701400209,0.0105,0.0037794080914913993,-0.0203779935836792
004284,1,1,1,0.9079174399375916,1,0.35589799560654267,0.022733333333333335,0.03889049677451962,0.6134609580039978
000153,0,0,1,0.2530093491077423,0,0.1302348339814571,0.060866666666666666,0.0037884499980298607,-0.1675013303756714
004677,0,1,0,0.7383937835693359,0,0.15499237072030395,0.02022222222222222,0.0009509822157458236,0.6330757141113281
000779,1,1,1,0.8035666346549988,1,0.43529233376467374,0.0276,0.0027582814713251677,0.7630808353424072
000745,1,0,0,0.12973754107952118,0,0.022523042494235524,0.027533333333333333,0.013918387915474865,0.19886738061904907
001261,1,1,1,0.8248766660690308,1,0.5145699745864583,0.04888888888888889,0.0017783720565911901,0.5522244572639465
003657,1,1,1,0.8229487538337708,1,0.6967660710724746,0.11235555555555556,0.007190929229312893,0.8015713691711426
