image_id,label,split,has_caliper
001469,1,train,False
001392,1,train,True
004755,1,train,False
003890,1,train,False
000557,0,train,True
000819,1,train,True
001543,1,train,True
004263,1,train,False
000196,1,train,True
004252,1,train,False
003622,1,train,True
002336,1,train,False
002908,0,train,True
001609,1,train,False
003350,1,train,False
003719,1,train,False
003017,1,train,False
001147,1,train,False
004708,0,train,True
003637,1,train,True
001563,1,train,False
003501,0,train,True
003357,1,train,False
003910,1,train,True
002445,0,train,False
000045,0,train,False
000158,0,train,True
002544,1,train,False
001506,1,train,True
003451,0,train,True
002741,1,train,False
002141,1,train,True
001136,1,train,True
004490,1,train,True
003727,1,train,False
003104,1,train,True
001114,1,train,True
001849,0,train,True
000480,0,train,False
000869,1,train,True
002922,0,train,False
001424,1,train,False
003860,1,train,False
001433,1,train,False
004768,1,train,True
001636,1,train,False
004861,1,train,True
000622,0,train,False
003260,1,train,False
000346,0,train,True
003568,0,train,False
004800,1,train,False
000930,1,train,False
000340,0,train,False
004137,0,train,False
002972,0,train,True
004652,0,train,True
000211,0,train,True
004805,1,train,False
000007,0,train,True
004584,1,train,False
002940,0,train,False
000619,1,train,False
001250,1,train,False
003894,1,train,True
003125,1,train,False
001544,1,train,False
002344,0,train,False
003980,1,train,False
001953,1,train,False
004187,1,train,True
003530,0,train,True
002612,1,train,True
004683,0,train,True
001356,1,train,False
000883,1,train,False
001635,1,train,False
001277,1,train,False
002302,1,train,False
001531,1,train,True
001089,1,train,True
004839,1,train,True
002355,1,train,True
001222,1,train,False
001472,1,train,False
002719,1,train,False
004360,1,train,False
000963,1,train,True
003450,0,train,False
001366,1,train,True
000295,0,train,False
003641,1,train,True
001164,1,train,True
000625,0,train,False
000733,1,train,False
003250,1,train,True
002024,1,train,True
000243,0,train,False
002170,1,train,False
001149,1,train,True
003335,1,train,False
001592,1,train,False
004480,1,train,False
002003,1,train,False
003947,1,train,True
002934,0,train,False
002866,0,train,True
000285,0,train,True
003956,1,train,False
004208,1,train,False
002988,1,train,True
003913,1,train,False
000090,1,train,False
000248,0,train,False
001735,0,train,False
002968,0,train,False
001659,1,train,False
003542,0,train,True
001680,1,train,False
004229,1,train,True
004442,1,train,False
000084,0,train,False
003529,0,train,False
002265,1,train,False
001577,1,train,False
004467,1,train,False
000631,0,train,True
004675,0,train,False
004374,1,train,False
001239,1,train,True
002881,0,train,False
001815,0,train,False
002219,1,train,True
000726,1,train,False
002525,1,train,True
003500,0,train,False
001070,1,train,True
003606,1,train,True
002246,1,train,True
003432,0,train,True
001090,1,train,True
003411,1,train,True
002001,1,train,True
001429,1,train,False
001627,1,train,True
003308,1,train,False
004560,1,train,False
004076,0,train,False
000308,0,train,False
000301,0,train,True
000166,0,train,False
001191,1,train,False
001016,1,train,True
001507,1,train,True
001004,1,train,True
000658,0,train,False
004831,1,train,False
001062,1,train,True
002706,1,train,False
004498,1,train,True
000734,1,train,False
002777,1,train,False
001895,0,train,True
004507,1,train,True
002849,1,train,True
002464,0,train,False
002249,1,train,True
001742,0,train,True
001172,1,train,False
003434,0,train,False
003996,1,train,True
004319,1,train,False
003320,1,train,True
004296,1,train,True
000517,0,train,False
000454,0,train,False
003851,1,train,False
002457,0,train,True
000477,0,train,False
003791,1,train,True
002157,1,train,False
000610,0,train,True
000306,0,train,True
002394,0,train,False
000299,0,train,True
002182,1,train,False
002173,1,train,False
001056,1,train,True
003744,1,train,True
002729,0,train,False
000065,0,train,True
001806,0,train,False
003277,1,train,False
003713,1,train,False
001696,1,train,True
000567,0,train,True
004460,1,train,False
003515,0,train,True
002853,1,train,True
004279,1,train,False
004998,1,train,False
002480,0,train,True
003982,1,train,True
002739,1,train,True
001842,1,train,False
004386,1,train,False
002852,1,train,False
000485,0,train,False
000995,1,train,False
001169,1,train,False
003103,1,train,True
004221,1,train,True
003223,1,train,True
004980,1,train,True
002925,0,train,False
002189,1,train,False
000357,0,train,True
003768,1,train,False
003538,0,train,True
001351,1,train,False
001721,1,train,True
003174,1,train,False
002252,1,train,True
003752,1,train,True
004071,0,train,False
004260,1,train,False
004028,1,train,True
004879,1,train,False
002390,0,train,True
004259,1,train,True
003420,1,train,True
001820,1,train,True
002121,1,train,False
003983,1,train,False
000805,1,train,True
002973,0,train,True
003070,1,train,False
003540,0,train,False
003342,1,train,True
003173,1,train,False
003675,1,train,True
003496,0,train,True
000681,1,train,False
003209,1,train,True
004634,0,train,True
003876,1,train,False
000036,0,train,True
000092,0,train,False
003504,0,train,True
001309,1,train,True
004600,0,train,True
003212,1,train,True
001630,1,train,True
004749,1,train,False
000664,0,train,False
001450,1,train,False
003311,1,train,False
004267,1,train,True
002325,1,train,True
002202,1,train,False
004676,0,train,False
003984,1,train,False
001210,1,train,False
004897,1,train,False
001422,1,train,False
004343,1,train,False
004051,1,train,False
001319,1,train,True
004921,1,train,False
003771,1,train,False
004910,1,train,True
003270,1,train,False
000719,1,train,False
000429,0,train,False
003867,1,train,False
002915,0,train,False
004909,1,train,False
003886,1,train,False
003602,1,train,True
001378,1,train,True
004273,1,train,False
001024,1,train,False
004653,0,train,False
002385,0,train,True
000617,0,train,True
003623,1,train,False
004347,1,train,True
002395,0,train,False
000160,0,train,False
003095,1,train,False
001345,1,train,False
004280,1,train,True
004635,1,train,False
002591,1,train,True
000814,1,train,True
003986,1,train,False
000408,0,train,False
001432,1,train,False
003825,1,train,False
002303,1,train,False
004008,1,train,False
001138,1,train,False
003516,0,train,True
002393,0,train,False
004748,1,train,False
003045,1,train,True
000237,0,train,False
003953,1,train,False
003554,0,train,False
002452,0,train,True
004452,1,train,True
002902,0,train,True
002775,1,train,False
002957,0,train,False
000215,0,train,True
004761,1,train,True
004590,1,train,True
004366,1,train,True
000748,1,train,False
002657,1,train,True
003718,1,train,True
000529,0,train,False
001260,1,train,False
004669,0,train,True
004173,1,train,False
004832,1,train,True
002049,1,train,True
000162,0,train,True
000902,1,train,False
002679,1,train,False
001370,1,train,False
002018,1,train,False
000665,0,train,False
002864,0,train,False
003970,1,train,True
000951,1,train,False
002208,1,train,False
002074,1,train,False
002292,1,train,False
004341,1,train,True
001711,1,train,False
000341,0,train,True
004215,1,train,False
001539,1,train,True
002482,0,train,False
